,Number,Title,Year of Release,Rating,Voting,Runtime (min),Description,Director,Writers,Stars,Genres,Gross
0,1,Harry Potter und der Stein der Weisen,2001,7.7,917K,2h 32m,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson","Teen, Fantasy, Adventure, Family, Fantasy, Holiday","$318,886,962"
1,2,Der Herr der Ringe: Die Gefährten,2001,8.9,2.1M,2h 58m,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens","Elijah Wood, Ian McKellen, Orlando Bloom","Action, Epic, Adventure, Epic, Dark, Fantasy, Epic, Fantasy, Epic, Quest, Sword &, Sorcery, Adventure, Drama, Fantasy","$319,372,078"
2,3,Gladiator,2000,8.5,1.8M,2h 35m,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"David Franzoni, John Logan, William Nicholson","Russell Crowe, Joaquin Phoenix, Connie Nielsen","Action, Epic, Adventure, Epic, Epic, Period, Drama, Sword &, Sandal, Action, Adventure, Drama","$187,705,427"
3,4,Requiem for a Dream,2000,8.3,950K,1h 42m,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,"Hubert Selby Jr., Darren Aronofsky","Ellen Burstyn, Jared Leto, Jennifer Connelly","Psychological, Drama, Tragedy, Drama","$3,635,482"
4,5,28 Days Later,2002,7.5,515K,1h 53m,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.",Danny Boyle,Alex Garland,"Cillian Murphy, Naomie Harris, Christopher Eccleston","Body, Horror, Disaster, Dystopian, Sci-, Fi, Monster, Horror, Psychological, Horror, Road, Trip, Sci-, Fi, Epic, Zombie, Horror, Drama, Horror","$45,064,915"
5,6,Memento,2000,8.4,1.4M,1h 53m,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,Christopher Nolan,"Christopher Nolan, Jonathan Nolan","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano","Psychological, Thriller, Suspense, Mystery, Drama, Mystery, Thriller","$25,544,867"
6,7,City of God,2002,8.6,848K,2h 10m,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Fernando Meirelles, Kátia Lund","Bráulio Mantovani, Paulo Lins","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele","Caper, Coming-of-, Age, Gangster, Crime, Drama","$7,564,459"
7,8,Mulholland Drive,2001,7.9,414K,2h 27m,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",David Lynch,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux","Psychological, Drama, Psychological, Thriller, Showbiz, Drama, Suspense, Mystery, Tragedy, Drama, Mystery, Thriller","$7,220,243"
8,9,Spider-Man,2002,7.4,937K,2h 1m,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",Sam Raimi,"Stan Lee, Steve Ditko, David Koepp","Tobey Maguire, Kirsten Dunst, Willem Dafoe","Superhero, Teen, Adventure, Urban, Adventure, Action, Adventure, Sci-, Fi","$407,774,549"
9,10,Chihiros Reise ins Zauberland,2001,8.6,928K,2h 4m,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino","Anime, Coming-of-, Age, Fairy, Tale, Hand-, Drawn, Animation, Quest, Supernatural, Fantasy, Adventure, Animation, Family, Fantasy","$15,205,725"
10,11,Snatch: Schweine und Diamanten,2000,8.2,955K,1h 44m,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham","Caper, Dark, Comedy, Gangster, Comedy, Crime","$30,328,156"
11,12,Donnie Darko,2001,8.0,891K,1h 53m,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell","Psychological, Drama, Psychological, Thriller, Time, Travel, Drama, Mystery, Sci-, Fi, Thriller","$1,478,493"
12,13,American Psycho,2000,7.6,797K,1h 42m,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,"Bret Easton Ellis, Mary Harron, Guinevere Turner","Christian Bale, Justin Theroux, Josh Lucas","Dark, Comedy, Psychological, Drama, Psychological, Horror, Serial, Killer, Slasher, Horror, Workplace, Drama, Crime, Drama, Horror","$15,070,285"
13,14,Catch Me If You Can,2002,8.1,1.2M,2h 21m,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,"Frank Abagnale Jr., Stan Redding, Jeff Nathanson","Leonardo DiCaprio, Tom Hanks, Christopher Walken","Caper, Coming-of-, Age, Docudrama, Globetrotting, Adventure, Period, Drama, True, Crime, Biography, Crime, Drama","$164,615,351"
14,15,Der Herr der Ringe: Die zwei Türme,2002,8.8,1.9M,2h 59m,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens","Elijah Wood, Ian McKellen, Viggo Mortensen","Action, Epic, Adventure, Epic, Dark, Fantasy, Epic, Fantasy, Epic, Quest, Sword &, Sorcery, Adventure, Drama, Fantasy","$345,518,923"
15,16,Irreversibel,2002,7.3,158K,1h 37m,Events over the course of one traumatic night in Paris unfold in reverse-chronological order.,Gaspar Noé,Gaspar Noé,"Monica Bellucci, Vincent Cassel, Albert Dupontel","Psychological, Drama, Psychological, Thriller, Tragedy, Crime, Drama, Mystery, Thriller","$60,086"
16,17,Der Pianist,2002,8.5,982K,2h 30m,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Roman Polanski,"Ronald Harwood, Wladyslaw Szpilman","Adrien Brody, Thomas Kretschmann, Frank Finlay","Docudrama, Epic, Period, Drama, Tragedy, War, Epic, Biography, Drama, Music, War","$32,590,750"
17,18,Harry Potter und die Kammer des Schreckens,2002,7.5,740K,2h 41m,"Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, to save the school, it will take a lot of courage.",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson","Sword &, Sorcery, Teen, Adventure, Teen, Fantasy, Adventure, Family, Fantasy, Mystery","$262,641,637"
18,19,Ocean's Eleven,2001,7.7,656K,1h 56m,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event.",Steven Soderbergh,"George Clayton Johnson, Jack Golden Russell, Harry Brown","George Clooney, Brad Pitt, Julia Roberts","Caper, Heist, Crime, Thriller","$183,417,150"
19,20,A Beautiful Mind: Genie und Wahnsinn,2001,8.2,1M,2h 15m,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",Ron Howard,"Akiva Goldsman, Sylvia Nasar","Russell Crowe, Ed Harris, Jennifer Connelly","Docudrama, Period, Drama, Psychological, Drama, Biography, Drama, Mystery","$170,742,341"
20,21,The Others,2001,7.6,415K,1h 41m,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan","Period, Drama, Psychological, Horror, Psychological, Thriller, Supernatural, Horror, Suspense, Mystery, Horror, Mystery, Thriller","$96,578,502"
21,22,Die fabelhafte Welt der Amelie,2001,8.3,825K,2h 2m,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",Jean-Pierre Jeunet,"Guillaume Laurant, Jean-Pierre Jeunet","Audrey Tautou, Mathieu Kassovitz, Rufus","Feel-, Good, Romance, Quirky, Comedy, Romantic, Comedy, Comedy, Romance","$33,712,444"
22,23,Almost Famous - Fast berühmt,2000,7.9,308K,2h 2m,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Cameron Crowe,Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson","Coming-of-, Age, Period, Drama, Road, Trip, Showbiz, Drama, Adventure, Comedy, Drama, Music","$32,534,850"
23,24,Der Klang der Liebe,2000,8.1,181K,1h 38m,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Wong Kar-Wai,Wong Kar-Wai,"Maggie Cheung, Tony Leung Chiu-wai, Ping-Lam Siu","Dark, Romance, Tragic, Romance, Drama, Romance","$113,280"
24,25,Minority Report,2002,7.6,609K,2h 25m,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.",Steven Spielberg,"Scott Frank, Jon Cohen, Philip K. Dick","Tom Cruise, Colin Farrell, Samantha Morton","Conspiracy, Thriller, Cyber, Thriller, Cyberpunk, Dystopian, Sci-, Fi, Psychological, Thriller, Suspense, Mystery, Action, Crime, Mystery, Sci-, Fi","$132,072,926"
